=== Phase 3: MONAI Spleen Segmentation Training ===
Device: cpu
/home/vboxuser/cv-project/monai-env/lib/python3.14/site-packages/monai/utils/deprecate_utils.py:320: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
Training cases: 33  |  Validation cases: 8
  epoch 1/50  step 1/33  loss=0.6222
  epoch 1/50  step 2/33  loss=0.6529
  epoch 1/50  step 3/33  loss=0.6047
  epoch 1/50  step 4/33  loss=0.6506
  epoch 1/50  step 5/33  loss=0.6382
  epoch 1/50  step 6/33  loss=0.6192
  epoch 1/50  step 7/33  loss=0.6492
  epoch 1/50  step 8/33  loss=0.6330
  epoch 1/50  step 9/33  loss=0.5833
  epoch 1/50  step 10/33  loss=0.6086
  epoch 1/50  step 11/33  loss=0.5668
  epoch 1/50  step 12/33  loss=0.6469
  epoch 1/50  step 13/33  loss=0.5886
  epoch 1/50  step 14/33  loss=0.6378
  epoch 1/50  step 15/33  loss=0.6397
  epoch 1/50  step 16/33  loss=0.6445
  epoch 1/50  step 17/33  loss=0.6240
  epoch 1/50  step 18/33  loss=0.6433
  epoch 1/50  step 19/33  loss=0.6272
  epoch 1/50  step 20/33  loss=0.5991
  epoch 1/50  step 21/33  loss=0.6035
  epoch 1/50  step 22/33  loss=0.5724
  epoch 1/50  step 23/33  loss=0.5634
  epoch 1/50  step 24/33  loss=0.5943
  epoch 1/50  step 25/33  loss=0.5874
  epoch 1/50  step 26/33  loss=0.6408
  epoch 1/50  step 27/33  loss=0.6399
  epoch 1/50  step 28/33  loss=0.6391
  epoch 1/50  step 29/33  loss=0.5623
  epoch 1/50  step 30/33  loss=0.6268
  epoch 1/50  step 31/33  loss=0.6383
